restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Urban Spatula,Anna Nagar West,800,4.4,794,4.3,911
Madurai Kumar Mess,Vadapalani,600,4.2,816,None,Not enough Delivery Reviews
Oxygen,Potheri,500,4,780,3.6,24100
Shree Konar Vilas,Purasavakkam,500,4.1,222,3.8,3688
Subway,Anna Nagar West,500,4.4,697,4,10700
Pind,Velachery,900,4.3,2994,4.2,1896
Mainland China,"Phoenix Market City, Velachery",1800,4.6,1498,4.2,335
Kumarakom,Velachery,600,4,670,3.9,38
City Square Cafeteria,Egmore,200,4.1,611,3.7,12200
Bhangra,"Mayajaal Multiplex, Kanathur",800,4.9,2109,4,2226
Twilight Take Out,Nungambakkam,350,None,Does not offer Dining,4,11200
The Red Box,Anna Nagar West,200,None,Does not offer Dining,4.2,11500
Rayar's Mess,Mylapore,100,4.7,904,4.3,1319
Hotel Safari,Royapettah,450,4.1,516,4.2,3857
VB Signature,Nungambakkam,1000,4.5,1611,3.8,750
Blind Ch3mistry,Nungambakkam,700,4.5,1258,4,147
Fisherman's Fare,Egmore,900,2.9,374,3.9,249
Madras2Chennai,Washermenpet,800,4.1,509,4,7860
Charminar Biriyani Centre,Royapettah,300,None,Does not offer Dining,3.9,652
North East Kitchen,Egmore,450,4.5,705,4.3,1552
AlMaza,Anna Nagar East,1000,4.6,764,4.2,881
Jonah's Bistro,Besant Nagar,1000,4.4,1485,3.9,3438
Barbeque Nation,Porur,1600,4.3,602,None,Not enough Delivery Reviews
Mughal Biriyani,Besant Nagar,350,4,323,4.1,8565
Loiee Mithai & Rasoi,Selaiyur,650,4.1,459,4,1610
Roll Over,Anna Nagar East,450,4.3,721,3.7,378
Pizza Hut,Nungambakkam,600,2.9,447,3.6,3109
Ratna Cafe,Kilpauk,400,3.9,653,4,4329
Masaledaar Desi Rasoi,Egmore,500,4.3,682,4.3,5346
The Big Barbeque,Old Mahabalipuram Road (OMR),1400,4.4,2390,None,Not enough Delivery Reviews
The Feast,Anna Nagar East,800,4.3,652,3.9,4352
Seasonal Tastes,"The Westin Chennai, Velachery",2500,4.3,704,None,Does not offer Delivery
601 - The Park,"The Park, Nungambakkam",2700,4.2,825,3.9,128
Pluto's Restaurant,Choolaimedu,700,4.1,429,3.3,4704
The Chinese Story,Porur,1000,4.4,593,4.1,6017
Nellai Vairamaligai,T. Nagar,500,4.3,529,4,9855
Vrindavan,"New Woodlands Hotel, Mylapore",500,4.2,589,3.9,1268
Azzuri Bay,Adyar,1000,4.3,2430,4,369
Crisp Cafe,Nungambakkam,1000,4.1,1101,None,Does not offer Delivery
Thambi Vilas,T. Nagar,500,3.9,849,3.1,720
Fresh Baked Goodness,Abhiramapuram,300,None,Does not offer Dining,4.1,1347
Double Roti,Anna Nagar East,900,4.3,866,4,921
Bombay Lassi,Triplicane,100,None,Does not offer Dining,4.3,7457
The Fat Boy,Alwarpet,800,4.4,1047,4.3,142
Chokhi Dhani,Poonamalle,1100,4.2,607,None,Does not offer Delivery
Cream Centre,RA Puram,1600,4.4,1307,4.3,1680
Ente Keralam,Alwarpet,750,4.3,696,4.2,880
Ashvita Bistro,Alwarpet,1000,4.1,769,3.8,695
Coco Jaunt 1728,Anna Nagar East,650,4.1,1218,3.6,6979
Cream & Fudge,Nungambakkam,350,4.2,443,4.2,2463
The Kati Roll Shop,Gopalapuram,300,4.2,437,4.1,5340
Atho Man,Royapuram,400,4,354,4,9088
Wild Garden Cafe - Amethyst,Royapettah,1400,4.4,1917,None,Not enough Delivery Reviews
Kaidi Kitchen,Mylapore,1500,4.2,2277,4.3,250
Rain Forest,Adyar,800,4.2,1534,4.4,726
Hub at ECR,East Coast Road (ECR),2000,4.4,1510,3.9,413
Pause Bar & Kitchen,"OMR Food Street, Kandanchavadi",1200,4.3,607,3.3,107
The Bayleaf,Gopalapuram,800,4.3,542,4,224
Nair Mess,Triplicane,200,4.5,1038,None,Does not offer Delivery
The Sandwich Shop,West Mambalam,300,4.9,584,4.4,895
SpiceKlub,Nungambakkam,1700,4.6,1132,3.9,237
Amdavadi,T. Nagar,600,4,954,3.6,556
BurgerMan,Besant Nagar,450,4.5,1009,4.3,1444
Superstar Pizza,Anna Nagar East,750,4.2,346,3.6,931
Courtallam Border Rahmath Kadai,T. Nagar,400,4.2,888,4,4425
Grasshopper - Green Meadows Resort,"Green Meadows Resorts, Palavakkam",1500,4,377,None,Does not offer Delivery
Starbucks Coffee,"Phoenix Market City, Velachery",700,4.2,889,None,Does not offer Delivery
Momo Sa-Khang by Kailash Kitchen,Choolaimedu,350,4.8,1658,4.5,2825
La Chocolate,Egmore,800,4,256,4.5,1574
Copper Chimney,Gopalapuram,1200,4.3,906,4.2,1232
Cibo,Ashok Nagar,800,3.9,917,3.4,7185
Pupil,"TNHB Complex, Besant Nagar",650,4.2,847,4.3,5416
Olive and Basil,Adyar,600,4.2,1044,3.5,7116
Eden,Besant Nagar,750,4.2,920,4,3618
The Bark,Alwarpet,1000,4.3,697,4,584
Grill Box - Unlimited BBQ,Mylapore,1200,4.4,2492,None,Not enough Delivery Reviews
Animal Kingdom,Adyar,1300,4.1,2733,3.9,200
Bombay Brasserie,Nungambakkam,1500,4.7,2546,4.2,1006
Delhi Highway,Nungambakkam,1200,4.2,1025,3.9,957
Cake Walk,Nungambakkam,300,4.2,585,None,Not enough Delivery Reviews
Eatalica,RA Puram,700,4.3,794,4.4,3698
Basil With A Twist,T. Nagar,1500,4.6,2102,4.2,995
Royal Sandwich Shop,Alwarpet,150,4.7,1304,3.9,11200
Links,Purasavakkam,250,4.3,695,3.6,1295
Nungambakkam Bismi Biriyani,Nungambakkam,600,4.1,964,4,8726
Sigree,Adyar,1500,4,1068,4,325
Tovo,Mylapore,1600,4.4,2018,4,667
Babal Da Punjabi Dabha,Egmore,1000,4.3,371,4.3,2361
Gossip Fusion Bistro,Kanathur,1500,4.9,996,4.3,500
East Coast at Madras Square,Neelangarai,1650,4.6,1311,None,Does not offer Delivery
Brick House Bistro,Anna Nagar East,700,4,1281,2.7,4926
J.Hind - Grand by GRT Hotels,Grand by GRT Hotels,2500,4.7,1138,None,Does not offer Delivery
Honey Spice,GST Road,500,4.3,1276,3.6,17200
The Summer House Eatery,Alwarpet,800,4.3,720,3.8,165
Chamiers Cafe,RA Puram,1000,4.3,1100,4.2,160
Writer's Cafe,Gopalapuram,600,4.4,1881,4,1017
Kabab Corner,Egmore,450,4.9,1053,4.3,2080
Flower Drum,Egmore,800,4.3,788,4,244
Fromage,MRC Nagar,1000,4.4,1296,3.9,83
The Marina,Nungambakkam,1600,4.8,1082,4.3,373
Crimson Chakra,Adyar,1000,4.1,1625,4,458
The Moon And Sixpence - Hablis Hotel,"Hablis Hotel, Guindy",2500,4.2,1147,None,Does not offer Delivery
Bhakshana By Paati Veedu,"Paati Veedu, T.Nagar",1500,4.1,332,3.9,337
Arabian Kebab Center,Kodambakkam,400,4.6,798,None,Does not offer Delivery
Lyfe By Soul Garden Bistro,Kilpauk,800,4.2,689,3.9,614
Mathsya,Egmore,800,4.3,1467,4.1,8001
The Brew Room - The Savera Hotel,"The Savera Hotel, RK Salai (Cathedral Road)",1100,4.5,1055,None,Does not offer Delivery
Cafe Central,T. Nagar,850,4.3,1013,4.2,643
