restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Zafar Biryani,Tambaram,700,3.8,196,3.7,10600
Dawat Biriyani,Potheri,600,3.7,243,3.9,12400
Spice It - IBIS Chennai OMR,"IBIS Chennai, OMR",1100,4.1,116,None,Does not offer Delivery
Salem RR Restaurant,Koyambedu,300,3.8,234,3.9,19300
The ChopHouse At Dominici's,Potheri,650,3.7,194,3.2,5272
SRM Chettinad Hotel,GST Road,300,3.9,203,3.9,5284
Akbar Mess,Vepery,200,4,174,None,Does not offer Delivery
Al Madina Restaurant,Tambaram,400,3.8,239,3.6,12500
On The Rocks - Crowne Plaza Chennai Adyar Park,"Crowne Plaza Chennai Adyar Park, Alwarpet",4000,4,76,None,Does not offer Delivery
Kebab It,Besant Nagar,500,4,170,4,604
Abhinandan,Egmore,450,3.9,120,None,Does not offer Delivery
Pupils Kitchen,Ramapuram,400,3.6,212,3.5,6972
365 A.S. - Hyatt Regency,"Hyatt Regency, Teynampet",3200,4.1,212,None,Does not offer Delivery
Arabian Corner,Ambattur,300,3.8,245,3.8,2124
Madurai Sri Devar Hotel,Pallikaranai,500,3.5,195,3.3,718
Bilal Biriyani,Pallavaram,350,3.9,159,3.8,1894
Baker's Cafe,Mylapore,350,3.9,123,4.3,563
Hot Treat,George Town,450,3.6,182,3.3,6164
Wow Biriyani,Choolaimedu,500,2.7,204,3.3,2931
Rotticious,Royapettah,350,3.6,101,4.3,569
Chicago Pizza,Nungambakkam,600,2.9,115,2.4,354
Barbecue World,Ambattur,550,3.6,167,3.4,4257
Ajnabi Mithaai,Alwarpet,300,3.8,132,4,2264
The Baker Ninja,Alwarpet,500,4.1,112,4.5,145
Fish 'n' Prawn,Arumbakkam,550,3.6,162,3.8,1170
Lydie's,Muttukadu,1550,3.7,187,None,Not enough Delivery Reviews
Ruby,Taramani,550,3.8,232,3.5,4452
Sanabel Biryani Point,Anna Nagar East,400,3.9,221,4.3,540
Tarts,Selaiyur,500,3.9,131,3.9,19
Seasons,Selaiyur,700,3.6,205,4,1961
Qurbani Biryani,Ambattur,500,3.8,174,3.8,7405
Esthell Multicuisine,Adyar,1600,3.8,81,None,Not enough Delivery Reviews
i-Way Restaurant,Perungudi,600,3.8,204,3.8,522
The Table,Anna Nagar East,300,3.8,148,4.2,1994
Dhadoom,"Ispahani Centre, Nungambakkam",500,3.3,51,None,Not enough Delivery Reviews
Hyssop,Chromepet,650,3.9,187,4.2,175
Dahlia,Nungambakkam,1500,4.2,147,None,Does not offer Delivery
Frontier Kitchen,T. Nagar,800,4,130,4,126
Hotel City Gate,Thiruvanmiyur,550,2.5,194,4.1,2447
CK's Bakery,Adyar,350,3.9,89,4.2,196
Night Rounds,Ramapuram,600,3.6,225,3.3,994
The Brick Oven,"The Accord Metropolitan, T. Nagar",2500,3.8,98,None,Does not offer Delivery
Madurai Murugan Mess,Tambaram,400,3.8,190,3.3,8356
Chennai Rawther Biriyani,Porur,550,3.6,230,4.1,2634
Stories Library Cafe,K.K. Nagar,800,4,123,3.9,47
Hotel Sangam,Triplicane,800,3.6,130,None,Not enough Delivery Reviews
Hunger Square,Anna Nagar East,500,3.8,142,4.4,901
Arabian Nights,Ambattur,250,3.7,105,3.6,2995
RA3 Food,Velachery,400,None,Does not offer Dining,4,2880
The Society - Ambassador Pallava,"Ambassador Pallava, Egmore",1500,4,148,None,Does not offer Delivery
Masaledaar Urban Rasoi,Perungudi,400,4,107,4,665
New Hyderabad Biriyani,Chromepet,600,3.4,199,3.7,5725
The Greenhouse Barbecue,Kilpauk,1200,4,188,None,Does not offer Delivery
Beyond Indus - Taj Club House,"Taj Club House, Thousand Lights",2500,4.1,124,None,Does not offer Delivery
Aachi Biriyani,Pallikaranai,450,3.8,218,3.7,12200
Hotel Aishwarya,Ambattur,350,3.7,161,4.2,5658
Shawarma Spot,Kodambakkam,300,3.8,90,3.9,4924
Sea Salt,Nungambakkam,500,4,124,None,Does not offer Delivery
The Creams,Ambattur,400,3.9,180,4.1,456
Thamburan,Sholinganallur,150,3.7,203,3.8,4841
Courtallam Border Parotta,Mahabalipuram,800,2.3,148,None,Not enough Delivery Reviews
Snow Cube,Madipakkam,150,3.7,133,3.7,2381
J R Jana,Selaiyur,500,4,199,None,Does not offer Delivery
Malabar Kitchen,Velachery,400,3.9,152,4.2,1282
Burger Times,Thiruvanmiyur,500,2.9,184,3.1,2518
Mechanics,Nungambakkam,1200,3.8,131,None,Not enough Delivery Reviews
Kings Kulfi & Natural Ice Cream,Velachery,300,4,184,4,887
Vada Chennai,Kolathur,400,3.7,158,3.6,7445
Just Biriyani,Purasavakkam,500,None,Does not offer Dining,3.4,2445
Pascah Multicuisine Restaurant,Avadi,700,4.1,210,None,Does not offer Delivery
Son's Restaurant,Maduravoyal,600,3.9,149,3.6,3208
Royal Sandwich,Anna Nagar West,150,3.8,40,None,Not enough Delivery Reviews
Quality Fastfood,Anna Nagar East,300,3.9,156,None,Not enough Delivery Reviews
Don Pepe,Gopalapuram,800,3.5,124,None,Not enough Delivery Reviews
Tasty Pizza,Ramapuram,500,3,157,3.7,1471
Hatimy's,George Town,550,4.2,155,4.3,1109
Buddha Hut,Pallavaram,250,4.1,166,None,Not enough Delivery Reviews
New Venkateswara Andhra Restaurant,Thuraipakkam,400,None,Does not offer Dining,3.9,3338
Charcoal Eats Express,RA Puram,700,None,Does not offer Dining,3.4,1327
926,"Abu Sarovar Portico, Egmore",1000,2.5,50,None,Does not offer Delivery
CakeBee,Nungambakkam,400,None,Does not offer Dining,4.3,800
Sift and Spoon,Saligramam,300,None,Does not offer Dining,4.5,127
Hotel Shiva Sagar,Vepery,600,3.5,149,4.3,3235
Kebab Street,Kilpauk,550,3.6,159,3.7,342
Adithya's Chettinadu Restaurant,Tambaram,900,3.7,169,3.8,2802
Doveton Cafe,Purasavakkam,400,3.8,176,4.1,182
"Skyloft - Feathers, A Radha Hotel","Feathers, A Radha Hotel",2000,4,125,None,Does not offer Delivery
India Gate,Thuraipakkam,700,2.4,212,3.1,1957
Asima Briyani Multicuisine Restaurant,Vadapalani,700,3.7,138,4.2,557
Citrus Cafe - Lemon Tree Shimona,"Lemon Tree Shimona, Ramapuram",1700,3.6,164,None,Does not offer Delivery
Sri Madhavan Mess,Kolathur,400,3.9,204,4.1,639
Andhra Annam,"OMR Food Street, Kandanchavadi",350,3.8,112,3.5,954
Hotel Raaj Bhaavan,Nungambakkam,600,3.8,161,4.1,4085
The Cheroot Malt & Cigar Lounge - ITC Grand Chola,"ITC Grand Chola, Guindy",3000,4.1,159,None,Does not offer Delivery
Punjabi Family Restaurant,Selaiyur,300,3.8,212,3.9,5386
Udipi Sri Durga Nivas,Nanganallur,200,4.2,192,None,Does not offer Delivery
Swadh dhaba,Medavakkam,400,None,Does not offer Dining,3.9,6029
Barista,Besant Nagar,500,2.6,141,None,Not enough Delivery Reviews
Sri Ganesh Bhavan,Anna Nagar West,300,3.9,204,4.4,4717
Juice Forest,Kodambakkam,250,3.7,140,4.3,2308
Sri Guru Fast Food,Perambur,300,3.4,158,3.9,3283
OCD - Oreo Compulsive Disorder,Shenoy Nagar,300,None,Does not offer Dining,4,243
Globally Local,RA Puram,800,3.9,103,None,Not enough Delivery Reviews
Foodtopia Bistro,Mogappair,300,4,214,3.6,6067
Mr. Chick Restaurant,Avadi,500,3.8,160,4,2805
Halal Kitchen,Ekkaduthangal,450,None,Does not offer Dining,3.5,660
The Delhi Dhaba,Kilpauk,300,3,110,4,3542
Al Zaman Restauant,Mogappair,700,3.9,132,3.8,9049
Waffles Hut,Ambattur,300,3.8,163,3.9,1273
Keventers - Milkshakes & Ice Creams,"Phoenix Market City, Velachery",400,3.6,151,4.3,538
Althaf Food Court,Saidapet,300,3.9,198,4.2,2162
Madro Cafe,Anna Nagar East,400,4,93,None,Not enough Delivery Reviews
Alif Biriyani,Tambaram,500,3.8,198,4.1,1162
Godavari Andhra Mess,GST Road,200,3.9,128,3.6,3289
Kailash Parbat,Adyar,600,4.1,116,3.9,141
Ambur Royal Biriyani,Karapakkam,350,3.7,142,4,9395
U & Me Yummy,Sowcarpet,300,3.9,173,3.9,308
Madras Coffee House,T. Nagar,200,None,Does not offer Dining,4.1,905
Adyar Treat Restaurant,Adyar,450,4,168,4.3,634
Yadu Andhra Mess,Mylapore,250,4,161,3.8,7357
W XYZ(SM) Bar - Aloft Chennai,"Aloft Chennai, Sholinganallur",2000,3.4,183,None,Does not offer Delivery
Pizza Cottage,George Town,500,3.3,181,3.9,1656
Thiruvanmiyur Bismi Biriyani,Madipakkam,450,3.1,145,3.4,10400
Navrang,Royapettah,550,3.7,143,4.1,2374
Chai Waale,Anna Nagar East,200,4,127,4.2,5485
Desi Street,Anna Nagar East,900,3.9,72,3.8,223
Cinnamon House,Nungambakkam,300,4,93,4.2,188
Royal Restaurant,Vepery,400,3.6,208,3.3,7297
Chaat @ Adyar,Adyar,200,3.6,153,3.9,2429
Sundar Chettinadu Restaurant,Perambur,600,3.5,186,3.8,2916
Grill & Barbeque,Perambur,400,3.5,170,3.9,2603
Arafa Biriyani Point,Perambur,300,3.8,156,4,6752
Hemanth Chats,Vepery,200,3.9,181,4.1,860
Mirchi Indian Bistro,Perungudi,500,4,122,4.1,550
Jaipurya - The Desi Gourmet,Egmore,350,3.9,108,4.2,526
La Castle,Anna Nagar West,600,2.6,148,4.1,391
Aruna Bhavan Hotel,Sholinganallur,400,3.3,150,3.6,6383
Muthiah Mess,Karapakkam,300,4,152,None,Not enough Delivery Reviews
Sri Krishna Hot Spot,Adyar,350,4,169,3.8,3195
Beef Wala,T. Nagar,300,3.6,193,3.9,1845
MilkyWay,Egmore,350,3.8,144,4,113
Batter,Alwarpet,200,4,133,4.1,595
Madurai Kannappar Chettinadu Restaurant,Porur,500,2.4,176,3.8,619
Oh My Shawarma,Aminijikarai,350,None,Does not offer Dining,4.1,1957
18 Degree North - Clarion Hotel,"Clarion Hotel, Mylapore",1200,2.9,54,None,Does not offer Delivery
Mearth Cafe,RA Puram,800,4,118,None,Not enough Delivery Reviews
Dosart,Kilpauk,300,3.8,168,3.3,485
Cakes and Berrys,Porur,150,4,140,4.4,649
Motel Mamalla,Mahabalipuram,400,3.5,102,None,Does not offer Delivery
TN22 Biryani,Thiruvanmiyur,600,3.9,143,3.8,348
Extase,"Ramada Plaza, Guindy",2000,3.9,112,None,Does not offer Delivery
Rasoee,Kilpauk,300,3.8,160,4,2421
Hotel Hollywood,Kodambakkam,500,3.8,181,3.9,303
Food @ Nite,Choolaimedu,350,None,Does not offer Dining,3.6,9559
Famous Biryani,Selaiyur,650,3.9,193,3.8,2152
Madras Takkar,Madipakkam,300,3.9,180,3.7,2391
Murugan Idli Shop,T. Nagar,200,4,138,None,Does not offer Delivery
Cha Republic,"Phoenix Market City, Velachery",250,3.5,134,None,Not enough Delivery Reviews
Hotel Lebnon Inn,Kelambakkam,500,3.1,151,3.9,2051
Swirl - Vivanta Chennai,"Vivanta Chennai, IT Expressway, Sholinganallur ",2200,3.8,168,None,Does not offer Delivery
Malabar Camboose,"OMR Food Street, Navallur",550,3.7,145,3.7,1306
The Grand Sweets and Snacks,Adyar,250,3.7,137,4,160
Noodle Bowl,"Ambit IT Park, Ambattur",450,3.8,181,3.8,2685
Hotel Farook,Purasavakkam,200,4,148,None,Not enough Delivery Reviews
Yellow Panda,Taramani,600,3.9,151,3.8,1340
"Vapor - Feathers, A Radha Hotel","Feathers, A Radha Hotel",1200,3.8,117,None,Does not offer Delivery
Thalassery Corner Thattukada,Velachery,400,3.6,121,3.8,568
Instant Karma,Mahabalipuram,1000,4,120,None,Not enough Delivery Reviews
The Verandah - Taj Connemara,Anna Salai,2500,4,159,None,Does not offer Delivery
VB Heritage By Namma Veedu Vasanta Bhavan,Mylapore,500,3.8,115,3.8,169
Chicking,Nungambakkam,350,3.3,157,4.3,992
Library Blu - The Leela Palace,"The Leela Palace, MRC Nagar",3000,4.1,128,None,Does not offer Delivery
Jannal Kadai,Mylapore,100,4,153,None,Does not offer Delivery
The Bombay Roll Corner,Teynampet,150,None,Does not offer Dining,4.2,10400
Karim Biryani,Vepery,300,3.8,176,4,379
Harithakom,Tambaram,700,3.1,172,3.8,239
Adaminde Thattukada,Besant Nagar,500,3.6,137,3.8,270
Indus Kitchens,Kodambakkam,1100,4,69,3.7,46
Usthad Hotel,Karapakkam,350,4,189,3.9,6880
Cake Affairs,Mylapore,300,3.9,31,None,Does not offer Delivery
Senthil Softy Zone,Mylapore,200,4.1,135,None,Does not offer Delivery
Hotel Sri Lakshmi Sagar,Adyar,300,4,138,4.1,1377
Manna Veg Restaurant,Ramapuram,200,3.7,173,3.6,9438
Hotel Vaithee Park,Poonamalle,600,3.6,87,3.6,3360
Food Fieszta,Velachery,500,3.4,171,3.6,2238
Shri Gowri Krishnaa,Anna Nagar East,800,3.7,72,4.2,4847
Coastline,Gopalapuram,1000,3.1,101,3.5,161
Kalpana Andhra Mess,Thuraipakkam,350,3.8,170,3.7,684
Sri Motel Highway Jains,Poonamalle,500,3.9,127,None,Does not offer Delivery
Lakshmi Bhavan,Velachery,300,3.9,168,3.7,18800
Roll Baby Roll,Alwarpet,300,4,180,4.3,365
Thangachi Ammal Unavagam,Thuraipakkam,400,3.7,168,3.8,1984
Bismillah Beef Biryani,Alandur,250,4,116,None,Does not offer Delivery
Cake Waves,Saligramam,500,3.8,91,4.4,379
Kalam Hot Kitchen,Tambaram,500,3.9,119,3.5,1431
Cream & Pizza,Perungudi,500,3.2,82,3.4,745
Cream World,Ashok Nagar,350,3.6,107,3.7,181
Yaa Kebab,Saligramam,600,3.3,117,3.9,492
Yunoos Restaurant,Perambur,600,3.8,135,3.9,6247
Hideout Cafe Lounge,Mylapore,800,4,141,None,Not enough Delivery Reviews
Anandam,"Hotel Maris, Gopalapuram",400,3.8,122,None,Does not offer Delivery
Annalakshmi Restaurant,Chetpet,2000,4.1,130,None,Does not offer Delivery
Vijay Delhi Chats,West Mambalam,300,None,Does not offer Dining,3.7,2650
Eat More Fried Chicken,Kanchipuram District,300,3.9,162,3.2,506
Chop Chop BBQ & Grill,Porur,450,3.7,140,3.7,2762
Crunchy Munchy Chats,T. Nagar,250,None,Does not offer Dining,3.5,1766
Luxer Hotel,Mylapore,1000,3.8,89,None,Does not offer Delivery
KoKoMMo," InterContinental Chennai Mahabalipuram Resort, East...",1500,4,137,None,Does not offer Delivery
Mr. Sandwich,Pallavaram,200,None,Does not offer Dining,2.5,2415
Sandwich Hub By Anika Foods,Kilpauk,300,4.1,162,4.3,1266
NYPFC - New York Pizza & Fried Chicken,Royapuram,500,3.2,168,4,346
Sri Akshayaa Veg Restaurant,Ramapuram,300,3.9,99,3.4,3763
Hotel Sivari,Washermenpet,400,3.7,151,3.8,5696
Urban Treat,Velachery,250,3.4,166,3.6,1939
Tasty China,Porur,800,3.7,118,3.5,1576
Jack N Jill,Anna Nagar East,400,3.3,129,3.8,8830
Curry Box,Anna Nagar West,500,4,119,4.1,181
Inhale Exhale - Dash@OMR,"Dash@OMR, Old Mahabalipuram Road (OMR)",2200,4,166,None,Does not offer Delivery
Green Dot Cheesecake,Nungambakkam,200,3.1,100,3.9,60
Millet Maagic Meal,Alwarpet,200,None,Does not offer Dining,4.3,3642
North East Multi Kitchen,Choolaimedu,350,3.6,108,3.6,2070
Baker's Code Cafe,Thuraipakkam,350,3.2,130,3.4,466
Light Moon Kitchen,Teynampet,400,3.8,119,3.6,7088
Sulthan's Biryani,Ashok Nagar,600,3.6,122,3.9,1416
Moonrocks Restaurant Unit Of Moonrakers,Mahabalipuram,600,3.1,86,None,Not enough Delivery Reviews
Trouser Anna Kadai,Mandaveli,300,3.5,122,None,Does not offer Delivery
The Roof Top Lounge,"Ramada Plaza, Guindy",1200,4,114,None,Not enough Delivery Reviews
Bakers Cottage,Anna Nagar East,200,3.6,108,4.2,78
Sri Ranga Bhavan,"Mahindra World City, Chengalpattu",550,2.9,166,3.6,1694
Ideal Garden Restaurant,"Ideal Beach Resort, East Coast Road (ECR)",1000,3.1,77,None,Does not offer Delivery
Tempteys,Navallur,350,4,123,3.8,398
Kapi Multicuisine Restaurant,"Chariot Beach Resort, East Coast Road (ECR)",1200,2.6,35,None,Does not offer Delivery
Chai Ok Please,Potheri,200,3.9,155,3.3,442
Dal Roti Express,Thiruvanmiyur,200,3.4,165,3.5,1210
Madurai Pandiyan Hotel,Ramapuram,450,3.9,141,3.9,5114
Gelato Vinto,Velachery,450,3.8,98,3.8,2021
Hotel Ananda,Teynampet,250,4,158,4.3,787
Sri Sai Swagath Andhra Mess,Velachery,300,3.4,182,3.7,3405
Vasanta Bhavan,Anna Nagar East,500,3.8,167,3.8,961
Kulfi House,Alwarpet,200,3.8,76,4.1,348
Taste Of Malabar,Vadapalani,650,3.7,113,3.5,753
Falafel,Anna Nagar East,500,3.6,153,3.9,2728
The Twenty Fifth Hour - Clarion Hotel,"Clarion Hotel, Mylapore",2000,2.9,88,None,Does not offer Delivery
Arabian Grills,Anna Nagar West,350,3.4,72,3.6,5074
Pink Cafe,Alwarpet,250,None,Does not offer Dining,3.9,1574
Shawarma & Grill,Neelangarai,350,None,Does not offer Dining,4,2215
Anda Pav,Kilpauk,200,4,98,4.2,383
The Farmer Restaurant,Old Mahabalipuram Road (OMR),500,3.9,103,None,Does not offer Delivery
Jinga Dharbar,Maduravoyal,800,3.8,144,3.5,127
Punjabi Rasoi,Navallur,700,3.8,122,3.5,922
Aagya Momo,Thuraipakkam,300,None,Does not offer Dining,3.9,5067
Punjabi Kitchen,Velachery,400,3.4,155,3.6,6856
Buhari Vintage Hotel,Kilpauk,800,3.1,89,4.1,745
Karachi Bakery And Cafe,Nungambakkam,800,3.8,87,3.9,25
Hungsters,Kilpauk,200,None,Does not offer Dining,3.9,535
Sweetsoul Buddha Bowls,"Hotel Rajpark, Alwarpet",1100,4,88,4.2,503
Sian - Vivanta Chennai,"Vivanta Chennai, IT Expressway, Sholinganallur ",1800,4,113,None,Not enough Delivery Reviews
Star Biriyani Center,Tambaram,300,4.1,199,None,Does not offer Delivery
OKadey's,Alwarpet,400,2.9,137,4.2,1580
WOSS - World of Sub's & Salad's,Thiruvanmiyur,300,None,Does not offer Dining,4.1,943
MadBean Cafe and Roastery,Santhome,700,3.8,61,None,Not enough Delivery Reviews
Mirchi Kitchen,Kelambakkam,550,3.5,168,3.3,3543
Kottaram,Perungudi,450,3.4,139,3.5,413
Geeraas,Perungudi,300,2.8,116,3.6,1371
Zawaj Biriyani,Perungudi,250,4.1,142,3.8,4609
Atho Grillz,Washermenpet,500,3.4,112,3.7,2419
Kalam Hot Kitchen,Tambaram,400,None,Does not offer Dining,3.6,5612
Hotel Sangamam,Ashok Nagar,700,3.1,157,4.2,698
Hotel Excellent,George Town,500,3.9,132,4.1,674
Hotel Pushpa,Washermenpet,300,3.7,103,3.9,6937
Dudu Grill and Pub,Akkarai,2300,3.8,129,None,Not enough Delivery Reviews
Cafe BURGERIN,Egmore,500,3.6,96,3.9,848
Tharayil Kitchen,Perungudi,400,3.8,140,3.5,1504
Sri Paarvathi Bavan,Saligramam,450,3.3,106,4.1,385
Basha Halwawala,Triplicane,250,4.2,157,None,Does not offer Delivery
Kans Biriyani,Madipakkam,400,3.1,163,3.8,1266
Hawker - Malaysian Parotta,Anna Nagar East,500,3.5,126,3.7,4906
Sandwich Express Shop,Saligramam,200,None,Does not offer Dining,4,7315
Hotel Sriraag,Vadapalani,600,3.6,128,4.3,482
Waffle Cart,Anna Nagar East,150,4,113,4.2,90
Kalyana Biriyani,George Town,450,3.9,160,4,205
Pudhusu Restaurant,Selaiyur,600,3,161,3.6,651
Meesa Kadai,Madipakkam,250,3.6,118,3.3,1951
Havmor,Kilpauk,300,4,103,4.4,372
Chettinadu Aachi Samaiyal,Adambakkam,300,None,Does not offer Dining,4,2496
ChickBuns,Karapakkam,300,3.5,150,2.9,2967
Madras Kebab N Pizza,Washermenpet,500,3.6,110,3.8,1781
Trattoria By Toscano,"VR Mall, Anna Nagar",900,3.9,106,3.9,76
Berry 'n' Blossom,Nungambakkam,350,3.6,66,4.3,250
Sunrise Restaurant,Mahabalipuram,800,3.8,94,None,Not enough Delivery Reviews
Fried N Fries,GST Road,300,3.8,137,4,8467
Chettinese,Perungudi,500,3.8,125,3.7,718
Masaledaar Dhaba,Saligramam,600,3.8,96,4.3,153
Gem Restaurant,Navallur,600,3.8,145,3.7,179
Hak Cafe,Kolathur,200,3.8,132,3.9,6881
Ajnabee Sweets,T. Nagar,300,3.5,87,4.1,426
Z Bar - Zone by The Park,"Zone by The Park, Pallikaranai",1800,3.9,113,None,Does not offer Delivery
Shanghai Dhaba,Mogappair,550,3.6,118,4.3,476
Alm Pranavam Restaurant,Thiruvanmiyur,200,3.9,148,4,1434
Kandhas,Kilpauk,200,3.4,112,3.8,9340
Prima's,Anna Nagar East,200,3.8,99,None,Not enough Delivery Reviews
Midnight Express,Alwarpet,400,2.5,140,3.8,713
Ever Green Chinese,Potheri,250,4,140,None,Not enough Delivery Reviews
Al Jami,Tambaram,300,3.7,139,3.7,4688
Orion,Madipakkam,650,3,109,3.9,585
Hotel Brindavan,Vandalur,350,3.2,158,3.4,2059
Orchid - Fortune Select Grand,"Fortune Select Grand, Chengalpattu",1500,3.4,91,None,Does not offer Delivery
Friends Fast Food,Egmore,200,3.9,162,3.8,5532
Nayeem Biryani Stall,Vepery,250,3.9,129,3.7,517
Cakelicious,Vepery,200,3.4,11,None,Does not offer Delivery
Foodaholic,Kanchipuram District,400,None,Does not offer Dining,4.1,3477
Al Taj,GST Road,500,3.5,111,3.8,1740
Brijwasi Sweets,Teynampet,300,3,101,3.9,3941
Sri Krishna Bhavan,Kilpauk,300,4,113,None,Not enough Delivery Reviews
Sithiq Malaysian Parotta,Madipakkam,550,2.9,106,3.5,144
Annanagar Vaishanava's - Thattu Idli Kadai,Anna Nagar East,200,4,126,4.1,1090
Cups and Teas,Besant Nagar,400,4,69,None,Not enough Delivery Reviews
Buy The Way - The Take Away Cafe,Valasaravakkam,300,3.8,88,3.7,228
Hotel Ya Rahman,Egatoor,450,3.7,158,3.5,10800
Sri Kasturi Sweets,Saidapet,150,3.7,50,None,Does not offer Delivery
Ruchi Kabab,Maduravoyal,600,3.3,146,3.8,828
Hunger Game,Medavakkam,400,3.3,155,3.5,3524
Turning Point,Madhavaram,500,2.8,97,4.1,1391
Lava Cakes,"Mahindra World City, Chengalpattu",250,3.8,114,None,Not enough Delivery Reviews
E.L.I's Kitchen At Mamalla Beach Resort,"Mamalla Beach Resort, Mahabalipuram ",700,4.1,72,None,Not enough Delivery Reviews
Malabar Biriyani & Fast Food,Maduravoyal,150,3.8,124,3.4,3389
A1 Ambur Briyani & Kababs,Aminijikarai,400,3.8,86,3.7,2200
Bismi Kitchen,Tambaram,450,3.8,79,3.2,1012
Vel Chettinadu Hotel,Nungambakkam,400,3.7,108,None,Not enough Delivery Reviews
AB Food Paradise Restaurant,Sholinganallur,300,3.4,155,3.7,1717
Thug Life Cafe,Abhiramapuram,200,3.9,124,4.1,306
Ganga Sweets,Valasaravakkam,300,3.6,87,4.3,624
Habbat Global Cuisine,Sholinganallur,800,4.1,121,None,Not enough Delivery Reviews
WOW Chicken,Choolaimedu,500,None,Does not offer Dining,3.4,1729
Bite Me Cupcakes,Thiruvanmiyur,300,None,Does not offer Dining,4.6,454
Lexxus,"Benzz Park, T. Nagar",800,3.6,115,None,Does not offer Delivery
Thanjavur Mess,West Mambalam,200,3.9,130,4.1,136
Bubblewrap Waffle Co.,Nungambakkam,450,3.9,74,3.9,76
Singapore's Komala's,GST Road,400,2.5,138,3.8,2572
Hotel Bhojan,Pallavaram,300,3.9,132,3.8,6385
Mokka Cafe & Restaurant,Nungambakkam,800,3.5,117,None,Not enough Delivery Reviews
Hotel Shree Mangalambiga,Ashok Nagar,300,3.1,101,3.5,150
Sai Balaji Bhavan,Tambaram,400,3.8,117,4.2,2605
Waves Bar & Lounge - Ramada,"Ramada, Egmore",2300,3.8,143,None,Does not offer Delivery
Les Croissants,Poonamalle,400,3.6,99,4.1,437
Murukku Meesai Mess,Ambattur,500,3.6,65,4,238
Janab Biryani,GST Road,650,None,Does not offer Dining,3.5,2675
Street Foods By Punjab Grill,"Phoenix Market City, Velachery",600,3.2,104,3,111
Chennai Rawther Restaurant,Egmore,600,3.3,99,None,Not enough Delivery Reviews
Streetza Pizza,Kanchipuram District,300,None,Does not offer Dining,3.3,395
Rajdhani Punjabi Dhaba,Thousand Lights,500,2.4,123,2.9,2707
Jai Ice Creams,Choolaimedu,150,4.1,110,None,Does not offer Delivery
Arabian Grills & Kebabs,Ambattur,500,3.1,131,3.6,1249
Eagle Bar,"Hotel Blue Nile, Pallavaram",1000,3.5,23,None,Not enough Delivery Reviews
Snofield,Gopalapuram,300,3.9,88,3.9,123
AVK Home Meals & Fish Fry Centre,Saligramam,200,3.9,95,None,Not enough Delivery Reviews
Old Skool Bistro,Nandanam,1200,3.7,59,None,Not enough Delivery Reviews
Hotel Aaron - Pure Vegetarian,"OMR Food Street, Perumbakkam",350,3.8,128,3.9,7261
Sri Akshayaas,Aminijikarai,350,3,100,4,899
Blue Bay The Senior Chef,Palavakkam,500,3.8,128,3.9,8286
Meyyoon,Perambur,300,3.9,150,3.5,1694
Blue Marlin,"Hotel Centre Point, Sholinganallur",700,3.4,61,None,Not enough Delivery Reviews
Aleef Biriyani,Perungudi,350,3.7,125,3.8,2372
Hot and Spicy World,Porur,300,3.9,119,3.5,465
Ek Aur Paratha,Gopalapuram,300,4.1,137,4.1,546
Ambur Biryani,GST Road,850,3.2,99,3.8,2838
Nachiyar Authentic Chettinad Restaurant,Kolathur,700,3.1,136,4,1082
Antari,Kilpauk,300,3.7,60,None,Not enough Delivery Reviews
Burma Square - OMR Food Street,Thuraipakkam,250,3.3,90,3.6,225
Thai Chettinadu Hotel,Aminijikarai,200,3.2,131,3.7,9531
Shake Nation,Anna Nagar West,150,4,125,3.9,1540
Suprabatham,Ramapuram,600,2.9,113,None,Does not offer Delivery
Murali Krishna Andhra Hotel,Anna Nagar East,500,3.8,133,3.7,559
Flavours - KALYAN Hometel,Vandalur,600,3.7,102,None,Does not offer Delivery
Pop That Question,Mogappair,400,3.7,114,3.9,1353
Tibet Momo,"Kora Food Street, Anna Nagar West",200,3.8,86,4,4762
OYALO,Old Mahabalipuram Road (OMR),450,3.7,135,3.3,1853
LV 1 Hookah Lounge,Egatoor,500,3.7,120,None,Does not offer Delivery
Divine Restaurant,Anna Nagar East,950,3.8,108,None,Does not offer Delivery
Junia Cafe Express,Ramapuram,250,3.8,142,3.6,4934
Samasa - Turyaa Chennai,Turyaa Chennai ,2300,3.7,74,None,Does not offer Delivery
Sri Krishna Sweets,T. Nagar,250,3.6,95,3.9,81
Feastinn,Kilpauk,300,3.9,101,3.9,333
Mother's Kitchen,Vandalur,300,None,Does not offer Dining,3.9,327
Shree Kumaran Restaurant,Thuraipakkam,600,3.7,109,None,Not enough Delivery Reviews
Tarbouche,Velachery,350,None,Does not offer Dining,3.8,2527
Madurai Famous Jigarthanda,T. Nagar,100,3.9,105,4.2,815
Ambattur Sri Hotel Pandian,Ambattur,400,3.7,79,3.9,8253
Do-Shh-Ahh,Ramapuram,200,None,Does not offer Dining,3.9,966
NS AFIZ Malaysian Parotta,Ramapuram,400,3.3,96,3.4,6514
Coffee Shastra,T. Nagar,200,None,Does not offer Dining,4,311
Hotel Marina Park,Santhome,700,2.6,81,3.8,372
Jeanne Ferrer,Kilpauk,500,None,Does not offer Dining,4.3,197
The Beef,"OMR Food Street, Navallur",400,None,Does not offer Dining,4.1,1027
Virudhunagar Biriyani & Fast Food,Purasavakkam,300,3.8,142,4.1,1856
